name,ring,quadrant,isNew,description
Angular 7,adopt,language-and-frameworks,FALSE,Web Application Client
React Native ,adopt,language-and-frameworks,FALSE,Mobile Client app
C#,adopt,language-and-frameworks,FALSE,API development
MS SQL Server Database,adopt,tools,FALSE,Database
Ignite UI for Angular,adopt,language-and-frameworks,FALSE,Web Front end controls
High Charts,adopt,tools,FALSE,Charts in web and mobile
Amazon AWS - Simple Notification Service,adopt,tools,FALSE,Notifications
Amazon AWS - Simple Queue Service,adopt,tools,FALSE,
Amazon AWS - Simple Email Service,adopt,tools,FALSE,Email Notifications 
Amazon AWS - S3,adopt,platforms,FALSE,Document Storage
Nhibernate,adopt,language-and-frameworks,FALSE,ORM
Amazon AWS - EC2 ,adopt,platforms,FALSE,Hosting
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
